,customerID,platform,content type,premium content,Customer Longevity,Subscription Type ,Contract Amount,Contract Term,IssueType,platform,appVersion,Upgradable,Status,profile ID,Subscribed,Video resolution,ApplicationVersion,PremiumContentType,VideoType,DRM,CDN,Platform
0,7010-BRBUU,sony liv,Drama,NO,4 Years,12 Months,1500.0,12 Months,Security and anti-piracy,YouTube TV,macOS Ventura 13.0.1,NO,ACTIVE,1.0,False,720p,2.3000000000000007,Yes,Series,Widevine,Cloudfront,Android
1,9688-YGXVR,sony liv,Drama|War,NO,2 Years,3 Months,650.0,3 Months,Security and anti-piracy,BigFlix,Xcode 14.1,NO,INACTIVE,2.0,False,720p,1.7000000000000006,Yes,Movie,PlayReady,Cloudfront,Browser
2,9286-DOJGF,hotstar,Comedy,YES,3 Years,6 Months,350.0,1 Month,Multiple user accounts,Amazon Prime Video,Android 11,YES,INACTIVE,3.0,True,2K,4.500000000000004,Yes,Movie,PlayReady,Cloudfront,Browser
3,6994-KERXL,hotstar,Documentary,YES,4 Years,12 Months,350.0,1 Month,Playback Quality,Sling TV,Android TV 12.3.2,YES,INACTIVE,4.0,True,480p,5.900000000000004,No,Series,Widevine,Cloudfront,FireTV
4,2181-UAESM,sony liv,Adventure|Drama|Fantasy,NO,4 Years,12 Months,650.0,3 Months,Functionalities and features of the app,Voot,None,NO,ACTIVE,5.0,False,720p,6.900000000000006,Yes,Series,Widevine,Cloudfront,iOS
5,4312-GVYNH,hotstar,Drama,YES,4 Years,12 Months,350.0,1 Month,Offline content,Peacock,FireOS 7.6.1.3,YES,ACTIVE,6.0,False,720p,5.600000000000003,Yes,Series,Widevine,Akamai,Android
6,2495-KZNFB,sony liv,Drama,NO,4 Years,12 Months,950.0,6 Months,Functionalities and features of the app,Disney + Hotstar,Windows 10,NO,INACTIVE,7.0,True,720p,2.100000000000001,Yes,Movie,Widevine,Akamai,Android
7,4367-NHWMM,sony liv,Drama|War,NO,2 Years,3 Months,1500.0,12 Months,Security and anti-piracy,Alt Balaji,Extension 6.5,NO,ACTIVE,8.0,False,1080p,5.100000000000003,No,Movie,PlayReady,Cloudfront,FireTV
8,8898-KASCD,sony liv,Drama,NO,4 Years,12 Months,950.0,6 Months,Response Time in different networks,Sonyliv,macOS Ventura 13.0.1,NO,INACTIVE,9.0,False,480p,4.000000000000003,Yes,Documentary,PlayReady,Cloudfront,FireTV
9,8016-NCFVO,hotstar,Crime|Drama|Mystery,YES,2 Years,3 Months,1500.0,12 Months,Better user interface and workability,Sling TV,Xcode 14.1,YES,ACTIVE,10.0,False,1080p,5.800000000000003,No,Series,Widevine,Akamai,FireTV
