partner id,customerID,asset id,device id,device type,platform,content type,premium content
31-0501626,7010-BRBUU,79-5210096,52.239.34.233/8,laptop,sony liv,Drama,NO
97-5291240,9688-YGXVR,69-7903385,8.203.94.59/1,tab,sony liv,Drama|War,NO
12-9582033,9286-DOJGF,52-8212093,166.42.28.141/1,tv,hotstar,Comedy,YES
81-0337938,6994-KERXL,48-3622447,153.177.169.192/11,mobile,hotstar,Documentary,YES
13-0884181,2181-UAESM,27-9405269,238.75.39.134/7,tab,sony liv,Adventure|Drama|Fantasy,NO
15-4303301,4312-GVYNH,55-4903740,106.133.201.155/2,mobile,hotstar,Drama,YES
41-5410186,2495-KZNFB,79-0489105,37.219.185.14/14,tv,sony liv,Drama,NO
53-1746053,4367-NHWMM,38-3813568,153.100.122.61/21,mobile,sony liv,Drama|War,NO
58-3778550,8898-KASCD,29-7542524,159.190.166.32/31,tab,sony liv,Drama,NO
03-9082752,8016-NCFVO,50-8327580,68.110.121.97/26,tv,hotstar,Crime|Drama|Mystery,YES
95-9407680,4578-PHJYZ,79-8648311,113.54.42.139/5,mobile,hotstar,Horror,YES
30-8962677,2091-MJTFX,26-9174541,99.138.204.114/19,laptop,hotstar,Sci-Fi,YES
39-0110535,2277-DJJDL,89-9995388,239.106.152.200/28,tv,sony liv,Action|Crime|Thriller,NO
97-6977814,2511-MORQY,08-8704513,228.189.142.113/12,mobile,hotstar,Comedy,YES
86-8769688,2731-GJRDG,11-0595202,229.124.86.249/16,tab,hotstar,Crime|Drama|Mystery,YES
73-8449280,1784-EZDKJ,50-6550393,217.157.124.67/18,laptop,sony liv,Horror,NO
04-9540615,2468-SJFLM,32-3923720,231.208.60.177/29,tv,sony liv,Adventure|Comedy|Thriller,NO
17-9928808,5115-SQAAU,40-9893547,140.221.167.207/21,tv,sony liv,Comedy|Drama|Fantasy|Sci-Fi,NO
10-7187144,8708-XPXHZ,66-4010867,5.3.11.52/13,mobile,hotstar,Drama,YES
12-5820737,0601-WZHJF,64-3956253,70.58.129.204/1,tv,hotstar,Action|Adventure|Drama|Romance|Western,YES
70-9390793,0463-TXOAK,83-9705770,162.88.222.49/14,mobile,sony liv,Drama,NO
64-1218547,4683-WYDOU,37-7949480,53.18.173.172/4,mobile,sony liv,Drama,NO
67-9823312,1166-PQLGG,09-0803930,166.45.65.149/8,mobile,sony liv,Comedy,NO
91-1480874,0963-ZBDRN,70-0248750,156.8.45.228/14,tv,sony liv,Action|Comedy|Drama,NO
26-5304580,4871-JTKJF,51-5950841,252.192.144.38/21,tv,hotstar,Drama|Romance,YES
43-8429379,7173-TETGO,80-1734583,84.118.120.108/29,tab,sony liv,Comedy,NO
03-8516698,4193-ORFCL,99-4662443,186.210.78.28/9,tv,sony liv,Drama,NO
11-2435989,2692-PFYTJ,38-3792747,3.181.8.66/8,tv,hotstar,Action|Drama|Thriller,YES
52-9773936,2369-UAPKZ,39-8797856,4.108.63.219/20,tv,sony liv,Drama,NO
70-3907289,5193-QLVZB,01-7395200,29.19.57.90/25,mobile,hotstar,Horror|War,YES
91-3101890,0379-DJQHR,08-2170998,242.125.145.124/17,tv,sony liv,Action|Comedy,NO
15-5779116,4657-FWVFY,22-7921388,78.161.150.131/16,tv,sony liv,Action|Adventure|Western,NO
71-8876760,0623-EJQEG,88-4893439,245.137.99.249/17,tv,sony liv,Comedy,NO
42-6751414,1699-TLDLZ,50-1479541,11.146.235.115/7,mobile,hotstar,Drama|Romance,YES
42-4304716,4501-UYKBC,30-3697972,204.115.250.112/26,tv,hotstar,Adventure|Comedy|Drama,YES
17-4755950,8158-WPEZG,73-1603929,6.123.38.252/15,mobile,hotstar,Action|Comedy,YES
