Unnamed: 0, Contract Id,Contract Description,Contract Amount,Contract Effective Date,Contract End Date,Currency Code,Contract Term,SLA Scheme Id,Customer Segment
0,32-8540983,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo,1500,2019-11-22,2020-08-31,INR,12 Months,#26db3a,Empty
1,25-9229010,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,650,2019-08-26,2020-06-18,INR,3 Months,#0344fe,Empty
2,78-7194379,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,350,2021-05-02,2021-08-02,INR,1 Month,#b3409b,Empty
3,76-2104357,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,350,2020-11-27,2023-08-30,INR,1 Month,#a6dcb3,Empty
4,98-2263265,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce,650,2021-10-27,2022-07-24,INR,3 Months,#5dcc6e,Empty
5,86-9032533,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,350,2019-06-07,2021-01-29,INR,1 Month,#a116b9,Empty
6,02-1245598,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa,950,2020-05-31,2020-12-09,INR,6 Months,#889a3b,Empty
7,96-7236495,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula,1500,2019-10-09,2022-08-03,INR,12 Months,#69a301,Empty
8,88-5550548,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,950,2021-01-25,2022-09-24,INR,6 Months,#674a68,Empty
9,24-2668812,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam,1500,2021-03-22,2020-08-16,INR,12 Months,#c31d3a,Empty
10,22-1826143,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,950,2021-08-04,2022-02-28,INR,6 Months,#0bcd65,Empty
11,57-6627507,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi,350,2021-06-23,2020-05-13,INR,1 Month,#8a46d3,Empty
12,37-6086047,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus,950,2022-09-12,2020-04-26,INR,6 Months,#d9c20b,Empty
13,98-9936489,sapien placerat ante nulla justo aliquam quis turpis eget elit,950,2020-09-03,2021-05-25,INR,6 Months,#b3dc07,Empty
14,47-9657230,dui proin leo odio porttitor id consequat in consequat ut nulla,650,2020-04-25,2020-04-07,INR,3 Months,#ac1ed6,Empty
15,54-4300627,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,350,2021-10-03,2021-08-30,INR,1 Month,#6df07b,Empty
